Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
224360;97218;Huperzia arctica;gul groddlummer;Art;1780;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;NE;
224361;97219;Huperzia europaea;äkta lopplummer;Art;3397;Skog (S) - Stor betydelse, Fjäll (F) - Har betydelse, Våtmark (V) - Har betydelse;NE;
221944;97221;Huperzia selago agg.;lopplummer (aggregat);Kollektivtaxon;18488;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;LC;
1895;97224;Lycopodiella inundata;strandlummer;Art;5082;Våtmark (V) - Stor betydelse, Sötvatten (L) - Har betydelse, Urban miljö (U) - Har betydelse;NT;A2b
222424;97226;Lycopodium alpinum;fjällummer;Art;3009;Fjäll (F) - Stor betydelse;LC;
221945;97227;Lycopodium annotinum;revlummer;Art;57949;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse;LC;
224362;97228;Lycopodium annotinum subsp. alpestre;nordlummer;Underart;1703;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse;NE;
224363;97229;Lycopodium annotinum subsp. annotinum;vanlig revlummer;Underart;8553;Skog (S) - Stor betydelse;LC;
221946;97230;Lycopodium clavatum;mattlummer;Art;20546;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
224364;97231;Lycopodium clavatum subsp. clavatum;vanlig mattlummer;Underart;3691;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
224365;97232;Lycopodium clavatum subsp. monostachyon;riplummer;Underart;1751;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
221941;97233;Lycopodium complanatum;plattlummer;Art;14484;Skog (S) - Stor betydelse;LC;
224358;97234;Lycopodium complanatum subsp. complanatum;vanlig plattlummer;Underart;3822;Skog (S) - Stor betydelse;NE;
224359;97235;Lycopodium complanatum subsp. montellii;finnlummer;Underart;460;Skog (S) - Stor betydelse, Fjäll (F) - Har betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
552;97236;Lycopodium tristachyum;cypresslummer;Art;1199;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"A2abc; B2ab(i,ii,iii,v)"
221940;97237;Lycopodium zeilleri;mellanlummer;Art;1210;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;A2bc
6010515;97238;Lycopodium alpinum × complanatum;fjällummer × plattlummer;Hybrid;11;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse;NA;
621;97276;Equisetum telmateia;jättefräken;Art;359;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;CR;D
