Organismgrupp,TaxonId,Vetenskapligt namn (vid riskklassificeringens genomförande),Auktor,Svenskt namn,Artens status,Ursprunglig utbredning,"Riskkategori, utfall enligt GEIAA metodik",Utslagsgivande kriterier,Summering,Invasionspotential,Ekologisk effekt,Effekt av klimatförändring på invasionspotential,Effekt av klimatförändring på ekologisk effekt,"Klimatförändring, betydelse",Livsmiljö,Referenser
Kärlväxter,222135,Abies alba,Mill.,silvergran,Främmande art,S och C Europa,HI,"4AB,2EF",Silvergran är ett barrträd från södra och centrala Europa.,Framtida spridning bedöms vara beroende av plantering. Ett förändrat klimat kan innebära att arten blir mer attraktiv att använda och plantera. Det kan också innebära livskraftigare fröplantor. Invasionspotentialen bedöms som relativt hög.,"Där silvergran bildar täta bestånd skuggas annan vegetation ut. I gynnsamma områden sker en ökad spridning, Detta sker dock endast lokalt, men kan komma att öka inom ett 50-årsperspektiv. I områden med täta stammar av hjortdjur dämpas troligen spridning pga bete av småplantor (T. Tyler pers. komm. 2025).",yes,yes,Arten bör gynnas av ett mildare klimat.,Terrester,"Kew Royal Botanic Gardens (red.) (2023). Plants of the World Online. https://powo.science.kew.org/  [2023-01-01]
Jonsell, B. (red.) (2000). Flora Nordica 1. Lycopodiaceae – Polygonaceae. Stockholm: The Bergius Foundation.
CABI (2017). Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabidigitallibrary.org/product/qi
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-10-21]"
Kärlväxter,6328968,Abies cilicica,(Antoine & Kotschy) Carrière,turkgran,Främmande art,Ursprung södra Turkiet och nordöstra Libanon.,LO,"2A,1","Turkgran är ett barrträd som blir ca 30 meter högt. Arten har sitt ursprung i centrala och södra Turkiet, nordöstra Syrien och Libanon.",Turkgran bedöms ha en måttlig invasionspotential.,"Det finns ingen känd negativ ekologisk effekt, men skulle på sikt kunna konkurrera med annan växtlighet lokalt.",yes,yes,,Terrester,"POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-10-21]
Länsstyrelsen Västra Götaland (2024). Änggårdsbergen. https://www.lansstyrelsen.se/vastra-gotaland/besoksmal/naturreservat/anggardsbergen.html?sv.target=12.382c024b1800285d5863a8b2&sv.12.382c024b1800285d5863a8b2.route=/&searchString=&counties=&municipalities=&reserveTypes=&natureTypes=&accessibility=&facilities=&sort=none  [2024-12-19]
SKUD (2024). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2024-11-21]
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se   [2024-10-14]"
Kärlväxter,222137,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,coloradogran,Främmande art,Västra och Södra centrala USA samt norra Mexico,PH,"4A,1",Coloradogran är ett barrträd som används som prydnadsträd i park/trädgård och odlas för snitt/pyntegrönt.,Framtida spridning bedöms vara helt beroende av plantering. Ett förändrat klimat kan innebära att arten blir mer attraktiv att använda och plantera. Det kan också innebära livskraftigare fröplantor. Arten förekommer idag endast i produktionsskog och planterad i andra artificiella miljöer. Men risken för spridning ut i naturliga miljöer bedöms som stor under de kommande 50 år.,Förändra trädstruktur och skuggande effekt på fältskiktet.,yes,yes,Arten skulle gynnas av ett mildare klimat.,Terrester,"Jonsell, B. (red.) (2000). Flora Nordica 1. Lycopodiaceae – Polygonaceae. Stockholm: The Bergius Foundation.
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]
CABI (2024). CABI Compendium. Wallingford, UK: CAB International. - Invasive Species. https://www.cabidigitallibrary.org/product/QI  [2024-04-08]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-10-21]"
Kärlväxter,222138,Abies grandis,(Douglas ex D. Don) Lindl.,kustgran,Främmande art,,PH,"4A,1",Kustgran är ett barrträd som är inhemsk i västra Nordemerika från Mexiko till Kanada. Etablerad i Europa från Alperna till Norden. Med varmare klimat bör arten sprida sig snabbare i Sverige. Den används i park/trädgård och i julgransodlingar. Den har förmåga att hybridisera med coloradogran.,"Framtida spridning bedöms vara helt beroende av plantering. Ett förändrat klimat kan innebära att arten blir mer attraktiv att använda och plantera. Det kan också innebära livskraftigare fröplantor. Arten förekommer idag endast i produktionsskog och planterad i andra artificiella miljöer. Spridning ut i naturliga miljöer har inte påvisats men bedöms komma att ske under kommande femtio år.Erfarenhet och data från SV Götaland är att av alla främmande barrträd är kustgran den som oftast hittas förvildad där (eller i närheten av) där den planterats och så ibland även i skogsmark som inte skulle betraktas som produktionsskog. I 'Floran i Skåne' används formuleringen ""fröföryngring har observerats på mer än hälften av lokalerna med planterad kustgran"" (samma som för t.ex. silvergran). Att arten inte bedömts som bofast i Sverige beror enbart på artens långa generationstid – min bedömning är att den helt säkert kommer att bli bofast när den funnits här tillräckligt länge för att hinna genomföra det antal generationer som krävs för en sådan bedömning (T. Tyler pers. komm. 2025).",Kustgran har ingen känd eller förväntad ekologisk effekt på svensk natur då den har svårt att konkurrera med andra träslag.,yes,yes,Arten kommer gynnas av ett mildare klimat.,Terrester,"POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-10-21]
Jonsell, B. (red.) (2000). Flora Nordica 1. Lycopodiaceae – Polygonaceae. Stockholm: The Bergius Foundation.
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]
CABI (2024). CABI Compendium. Wallingford, UK: CAB International. - Invasive Species. https://www.cabidigitallibrary.org/product/QI  [2024-04-08]"
Kärlväxter,222139,Abies lasiocarpa,(Hook.) Nutt.,berggran,Främmande art,Ursprung Alaska och västra Kanada till nordvästra USA.,LO,"3A,1","Berggran är ett barrträd som växer långsamt, är skuggtålig och blir mellan 18-30 meter högt. Arten härstammar från västra Nordamerika (Uchytil 1991).",Berggran bedöms ha medelhög invasionspotential.,Det finns ingen känd ekologisk effekt av bergran. Arten odlas i norra Sverige och även närheten av fjällbjörkskog och skulle i framtiden kunna påverka fjällnära skog. Berggran sprider sig en del från planteringar i fjällnära lägen och bör hållas under uppsikt.,no,no,,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se/  [2024-08-19]
Kew Royal Botanic Gardens (red.) (2023). Plants of the World Online. https://powo.science.kew.org/  [2023-01-01]
Uchytil, Ronald J. (1991). Abies lasiocarpa. In: Fire Effects Information System, [Online]. 
U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station, 
Fire Sciences Laboratory (Producer). Available:. https://www.fs.usda.gov/database/feis/plants/tree/abilas/all.html   [2024-12-20]
Edqvist, M. & Karlsson, T. (2007). Smålands flora. Uppsala: SBT-förlaget.
CABI (2024). CABI Compendium. Wallingford, UK: CAB International. - Invasive Species. https://www.cabidigitallibrary.org/product/QI  [2024-04-08]
Vollering J, Hegre H, Solstad H, Alm T, Fløistad IS, Pedersen O, Schei FH, Vandvik V, Westergaard KB och Skarpaas O (2023).  Pinophyta: Vurdering av fjelledelgran Abies lasiocarpa for Fastlands-Norge med havområder. Fremmedartslista 2023. Artsdatabanken. http://www.artsdatabanken.no/lister/fremmedartslista/2023/669. Nedladdad 19/12/2024  [2024-12-20]
Mossberg, B. & Stenberg, L. (2018). Nordens flora. Stockholm: Bonnier Fakta."
Kärlväxter,222140,Abies lowiana,(Gordon) A. Murray bis,oregongran,Främmande art,Ursprung sydvästra Nordamerika.,PH,"4A,1",Oregongran är ett mycket stort barrträd med ursprung i sydvästra Nordamerika.,Arten bedöms ha en hög invasionspotential.,"Arten har ingen känd effekt på svensk natur, men arten är skuggtålig och skulle kunna konkurrera med inhemska arter i framtiden om den etablerar sig.",yes,yes,,Terrester,"Zouhar, Kris (2001). Abies concolor. In: Fire Effects Information System, [Online]. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station, Fire Sciences Laboratory (Producer). https://www.fs.usda.gov/database/feis/plants/tree/abicon/all.html  [2024-12-20]
Kew Royal Botanic Gardens (red.) (2023). Plants of the World Online. https://powo.science.kew.org/  [2023-01-01]
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se/  [2024-08-19]"
Kärlväxter,222141,Abies nordmanniana,(Steven) Spach,nordmannsgran,Främmande art,Ursprunglig i nordöstra Turkiet och Kaukasus.,PH,"4A,1","Nordmannsgran är ett barrträd från nordöstra Turkiet och Kaukasus. Odlas som prydnadsträd och skogsträd, ofta i försöksodlingar. Används som julgranar och planeras i julgransodlingar. Förvildas med frön eller påträffas kvarstående efter upphörd hävd i Sverige. Ofta såld i planthandeln med beskrivningen; nordmannsgran även kallad kungsgran är en av de vanligaste och mest älskvärda ädelgranarna med ett luftigt koniskt växtsätt och blankt friskt gröna barr. Nya barr förblir ljusare än de äldre under första året vilket ger ett levande och intressant intryck.En av de vackraste gröna prydnadsgranar för både privata och offentliga anläggningar. Trivs på de flesta jordarna men föredrar leriga, fuktiga och näringsrika. Läget bör helst vara soligt men skugga tolereras, särskilt i ung ålder.",Nordmannsgran har en hög invasionspotential och planteras i stora mängder vilket kan öka spridningen ytterligare.,Nordmannsgran har likt övriga barrträd en viss ekologisk effekt genom att den skuggar och försurar omgivningen och kan komma påverka känsliga naturmiljöer om och när den etablerar sig i dessa.,yes,yes,,Terrester,"CABI (2024). CABI Compendium. Wallingford, UK: CAB International. - Invasive Species. https://www.cabidigitallibrary.org/product/QI  [2024-04-08]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org/  [2024-08-01]
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se/  [2024-08-19]
SKUD (2024). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2024-11-21]"
Kärlväxter,235097,Abies pindrow,(D.Don) Royle,pindrowgran,Främmande art,"Ursprung från Afganistan, Nepal, Pakistan samt västra Himalaya.",LO,"3A,1",Pindrowgran är ett sällan odlat prydnadsträd som inte finns till försäljning i Sverige 2024. Granen är planterad på 4 lokaler i Sverige där den noteras som kvarstående och med noterade fröplantor i Ängsbergsgårdens arboretrum samt i Fulltofta (2024 Artportalen).,Pindrowgran har möjlighet att sprida sig m men huvudsaklig spridning är genom männsklig aktivitet så som import av träd.,Pindrow gran uppvisar ingen ekologisk effekt i de parker den är planterad.,yes,yes,,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se/  [2024-08-19]
SKUD (2024). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2024-11-21]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org/  [2024-08-01]"
Kärlväxter,232964,Abies procera,Rehder,kaskadgran,Främmande art,"Ursprung östkusten i Nordamerika, Kalifornien till Washington.",PH,"4A,1",Kaskadgran är odlat som prydnadsträd och för produktion av pyntris; ofta kvarstående och även självsådd. Fröföryngring har observerats på ungefär 15 % av lokalerna med planterad kaskadgran i Skåne (Tyler m.fl. 2007).,Kaskad gran har goda möjligheter at sprida sig.,Kaskadgran är ett stort träd och kan därmed konkurrera ut mer skuggkänsliga arter. År 2024 har granen inte hittats i känsliga naturmiljöer.,yes,yes,,Terrester,"POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org/  [2024-08-01]
CABI (2024). CABI Compendium. Wallingford, UK: CAB International. - Invasive Species. https://www.cabidigitallibrary.org/product/QI  [2024-04-08]
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se/  [2024-08-19]"
Kärlväxter,6051722,Abies sachalinensis,(F.Schmidt) Mast.,sachalingran,Främmande art,Ursprung nordöstraste Ryssland samt Japan.,LO,"2A,1","Sachalingran är ett barrträd från nordöstra Ryssland och norra Japan. Med en maximal höjd på 50 fot och en maximal omkrets på 40 tum växer detta träd bra i fuktig men inte vattensjuk jord och tunga lerjordar. Sachalingranar är mycket skuggtoleranta, särskilt när de är unga, och används ofta för odling i trädgårdar och arboreteum i Europa, England, Ryssland och USA. De är används för produktion av trämassa, garvning och färgning, eteriska oljor, fibrer, timmer och medicin.",Sachalingran har en låg invasionspotential.,Ingen känd ekologisk effekt.,yes,yes,,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se/  [2024-08-19]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-10-21]"
