Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
1895;97224;Lycopodiella inundata;strandlummer;Art;5082;Våtmark (V) - Stor betydelse, Sötvatten (L) - Har betydelse, Urban miljö (U) - Har betydelse;NT;A2b
221946;97230;Lycopodium clavatum;mattlummer;Art;20546;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
221941;97233;Lycopodium complanatum;plattlummer;Art;14484;Skog (S) - Stor betydelse;LC;
552;97236;Lycopodium tristachyum;cypresslummer;Art;1199;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"A2abc; B2ab(i,ii,iii,v)"
220532;97246;Isoëtes echinospora;vekt braxengräs;Art;4294;Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse;LC;
221590;97250;Isoëtes lacustris;styvt braxengräs;Art;7105;Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse;LC;
223414;97258;Selaginella selaginoides;dvärglummer;Art;12029;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
221059;97268;Equisetum fluviatile;sjöfräken;Art;49093;Sötvatten (L) - Stor betydelse, Våtmark (V) - Har betydelse;LC;
221063;97273;Equisetum scirpoides;trådfräken;Art;2222;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
164;97292;Botrychium boreale;nordlåsbräken;Art;1933;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse;NT;C2a(i)
222112;97293;Botrychium lunaria;månlåsbräken;Art;16807;Jordbrukslandskap (J) - Stor betydelse, Fjäll (F) - Har betydelse, Urban miljö (U) - Har betydelse;NT;A2bc+4abc
165;97296;Botrychium lanceolatum;topplåsbräken;Art;2585;Jordbrukslandskap (J) - Stor betydelse, Fjäll (F) - Har betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;VU;C2a(i)
166;97297;Botrychium matricariifolium;rutlåsbräken;Art;1727;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;VU;"A2b; B2b(ii,iii,iv,v)c(iv); C2a(i)"
167;97299;Botrychium multifidum;höstlåsbräken;Art;4530;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;NT;A2bc+4abc
220261;97309;Ophioglossum vulgatum;ormtunga;Art;6738;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;LC;
222593;97314;Osmunda regalis;safsa;Art;2930;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
1241;97332;Pilularia globulifera;klotgräs;Art;2863;Sötvatten (L) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse, Våtmark (V) - Har betydelse;VU;A2b
221514;97361;Cryptogramma crispa;krusbräken;Art;432;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse;LC;
222740;97372;Cystopteris fragilis;stenbräken;Art;16293;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
222741;97376;Cystopteris montana;finbräken;Art;3049;Skog (S) - Stor betydelse, Fjäll (F) - Har betydelse, Våtmark (V) - Har betydelse;LC;
219815;97381;Gymnocarpium dryopteris;ekbräken;Art;45404;Skog (S) - Stor betydelse;LC;
744;97382;Gymnocarpium robertianum;kalkbräken;Art;1640;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;"A2b; B2b(iii,v)"
222730;97392;Asplenium ruta-muraria;murruta;Art;4579;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
222732;97394;Asplenium septentrionale;gaffelbräken;Art;12014;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
222733;97395;Asplenium trichomanes;svartbräken;Art;16375;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
224868;97396;Asplenium trichomanes subsp. quadrivalens;kalksvartbräken;Underart;2121;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NE;
222734;97399;Asplenium viride;grönbräken;Art;1519;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
223358;97411;Phegopteris connectilis;hultbräken;Art;36054;Skog (S) - Stor betydelse;LC;
222762;97414;Thelypteris palustris;kärrbräken;Art;7240;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
222764;97418;Woodsia glabella;dvärghällebräken;Art;281;Fjäll (F) - Stor betydelse;LC;
222765;97419;Woodsia ilvensis;hällebräken;Art;8622;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;LC;
220250;97425;Matteuccia struthiopteris;strutbräken;Art;14791;Skog (S) - Stor betydelse;LC;
220686;97433;Blechnum spicant;kambräken;Art;5782;Skog (S) - Stor betydelse;LC;
222736;97439;Athyrium filix-femina;majbräken;Art;42467;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
220007;97780;Calla palustris;missne;Art;18977;Skog (S) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
219572;97835;Lemna trisulca;korsandmat;Art;7370;Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse;LC;
219609;97854;Spirodela polyrhiza;stor andmat;Art;4076;Sötvatten (L) - Stor betydelse;LC;
221930;97876;Tofieldia calyculata;kärrlilja;Art;1949;Våtmark (V) - Stor betydelse;LC;
221931;97877;Tofieldia pusilla;björnbrodd;Art;9047;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
219647;97937;Butomus umbellatus;blomvass;Art;6658;Sötvatten (L) - Stor betydelse, Våtmark (V) - Har betydelse;LC;
220991;97957;Hydrocharis morsus-ranae;dyblad;Art;7336;Sötvatten (L) - Stor betydelse;LC;
219579;97969;Najas marina;havsnajas;Art;13980;Brackvatten (B) - Stor betydelse, Sötvatten (L) - Har betydelse;LC;
219611;97979;Stratiotes aloides;vattenaloe;Art;2926;Sötvatten (L) - Stor betydelse;LC;
219607;97989;Scheuchzeria palustris;kallgräs;Art;13065;Våtmark (V) - Stor betydelse;LC;
219612;98010;Triglochin maritima;havssälting;Art;9280;Havsstrand (H) - Stor betydelse;LC;
