Dyntaxa ID number,Establishment,Växtsätt,kontroll,Växtnamn,Medelhöjd (cm),Maxhöjd (cm),Blomningsstart,Blomningsslut,Phenology,Börjar Blomma,Extreme phenology,Sena,Blommande?,Blomfärg
222135,Resident,Träd,#REF!,Abies alba Mill.,1000,2000,April,Maj, ,Ingen data, ,Ingen data,Ja,Grön
222138,Non-resident,Träd,#REF!,Abies grandis (Douglas ex D. Don) Lindl.,2000,5000,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Grön
5,Resident,Träd,#REF!,Acer campestre L.,500,2000,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Grön
223314,Non-resident,Träd,#REF!,Acer negundo L.,500,1500,April,Maj, ,Ingen data, ,Ingen data,Ja,Grön 
223315,Resident,Träd,#REF!,Acer platanoides L.,1000,2500,April,Maj,5,5. S Apr,4,06-aug,Ja,Grön 
223316,Resident,Träd,#REF!,Acer pseudoplatanus L.,100,300,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Grön
223319,Non-resident,Träd,#REF!,Acer tataricum L.,100,300,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Grön
219899,Resident,Ört,#REF!,Achillea crithmifolia Waldst. & Kit.,30,60,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
219902,Resident,Ört,#REF!,Achillea filipendulina Lam.,50,150,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Gul
219906,Resident,Ört,#REF!,Achillea millefolium L.,40,100,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,"Vit, rosa"
219909,Resident,Ört,#REF!,Achillea ptarmica L.,30,80,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Vit
222767,Resident,Ört,#REF!,Aconitum × stoerkianum Rchb.,50,120,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Blå
219914,Resident,Ört,#REF!,Aconitum lycoctonum L.,50,150,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Gul
6,Resident,Ört,#REF!,Aconitum napellus L.,50,150,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Blå
220614,Non-resident,Ört,#REF!,Aconogonon × fennicum Reiersen,50,150,Juli,Augusti,9,9. S Jun,2,07-jul,Ja,Rosa
222769,Resident,Ört,#REF!,Aconogonon alpinum (All.) Schur,50,100,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,"Rosa, vit"
220615,Resident,Ört,#REF!,Aconogonon divaricatum (L.) Nakai,20,80,Juni,Augusti,11,11. S Jul,4,06-aug,Ja,Grön
220616,Non-resident,Ört,#REF!,Aconogonon weyrichii (F. Schmidt ex Maxim.) H. Hara,50,200,Juli,September,8,8. B Jun,1,22-jun,Ja,Vit
220617,Resident,Ört,#REF!,Acorus calamus L.,50,150,Juli,Augusti,9,9. S Jun,2,07-jul,Ja,Grön
8,Resident,Ört,#REF!,Actaea erythrocarpa (Fisch.) Kom.,20,50,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
222770,Resident,Ört,#REF!,Actaea rubra (Aiton) Willd.,30,60,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Vit
222771,Resident,Ört,#REF!,Actaea spicata L.,20,60,Maj,Juni,7,7.S Maj,2,07-jul,Ja,Vit
9,Resident,Ört,#REF!,Adonis vernalis L.,20,40,April,Maj,5,5. S Apr,4,06-aug,Ja,Gul
222776,Resident,Ört,#REF!,Adoxa moschatellina L.,5,20,April,Maj,4,4. B Apr,5,21-aug,Ja,Grön
222185,Resident,Ört,#REF!,Aegopodium podagraria L.,30,100,Maj,Juli,8,8. B Jun,1,22-jun,Ja,Vit
223321,Resident,Träd,#REF!,Aesculus hippocastanum L.,1000,2500,Maj,Juni,7,7.S Maj,2,07-jul,Ja,Vit
219619,Resident,Ört,#REF!,Aethusa cynapium L.,10,50,Juli,September,9,9. S Jun,2,07-jul,Ja,Vit
221593,Non-resident,Ört,#REF!,Agastache rugosa (Fisch. & C. A. Mey.) Kuntze,50,150,Juli,September,11,11. S Jul,4,06-aug,Ja,Blå
219918,Resident,Ört,#REF!,Agrimonia eupatoria L.,30,100,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Gul
11,Resident,Ört,#REF!,Agrimonia procera Wallr.,50,100,Juli,September,11,11. S Jul,4,06-aug,Ja,Gul
14,Resident,Ört,#REF!,Agrostemma githago L.,50,100,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Rosa
222187,Resident,Gräs,#REF!,Agrostis canina L.,20,60,Juni,Augusti,11,11. S Jul,4,06-aug,Ja,Grön
222188,Resident,Gräs,#REF!,Agrostis capillaris L.,30,100,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
15,Resident,Gräs,#REF!,Agrostis clavata Trin.,20,80,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
222192,Resident,Gräs,#REF!,Agrostis gigantea Roth,50,150,Juni,Augusti,11,11. S Jul,4,06-aug,Ja,Grön
222194,Resident,Gräs,#REF!,Agrostis mertensii Trin.,20,50,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
222197,Resident,Gräs,#REF!,Agrostis scabra Willd.,20,100,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
222198,Resident,Gräs,#REF!,Agrostis stolonifera L.,20,100,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Grön
222200,Resident,Gräs,#REF!,Agrostis vinealis Schreb.,20,60,Juni,Juli,10,10. B Jul,3,22-jul,Ja,Grön
16,Resident,Gräs,#REF!,Aira caryophyllea L.,10,50,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222203,Resident,Gräs,#REF!,Aira praecox L.,10,40,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Grön
17,Resident,Ört,#REF!,Ajuga genevensis L.,10,40,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Blå
221597,Resident,Ört,#REF!,Ajuga pyramidalis L.,10,30,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Blå
18,Resident,Ört,#REF!,Ajuga reptans L.,10,30,Maj,Juli,6,6.B Maj,3,22-jul,Ja,Blå
222777,Non-resident,Ört,#REF!,Alcea rosea L.,50,250,Juli,September,11,11. S Jul,4,06-aug,Ja,Rosa
222015,Resident,Ört,#REF!,Alchemilla acutiloba Opiz,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222934,Resident,Ört,#REF!,Alchemilla alpina L.,5,15,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Grön
222935,Resident,Ört,#REF!,Alchemilla baltica Sam. ex Juz.,20,50,Juni,Juli,7,7.S Maj,2,07-jul,Ja,Gulgrön
1848,Resident,Ört,#REF!,Alchemilla borealis Sam. ex Juz.,10,30,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222937,Resident,Ört,#REF!,Alchemilla chirophylla,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222940,Resident,Ört,#REF!,Alchemilla cymatophylla Juz.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
