_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
14,in grass roots,Gramineae,,,,14,Clemens,Acrolophidae,Acrolophus,popeanella,,,Nearctic
23,on leaves/seeds,Oleaceae,Ligustrum,,,23,Scopoli,Adelidae,Adela,croesella,,,British Isles
7,,Gramineae,Zea,,,7,Clemens,Acrolophidae,Acrolophus,arcanella,,,Nearctic
27,on leaves/seeds,Scrophulariaceae,Veronica,,,27,Denis & Schiff.,Adelidae,Adela,fibulella,,,British Isles
24,on catkins,Salicaceae,Salix,,,24,Denis & Schiff.,Adelidae,Adela,cuprella,,,British Isles
16,on roots,Leguminosae (P),Trifolium,pratense,,16,Clemens,Acrolophidae,Acrolophus,popeanella,,,Nearctic
28,on leaves/seeds,Scrophulariaceae,Veronica,chamaedrys,,28,Denis & Schiff.,Adelidae,Adela,fibulella,,,British Isles
8,,Betulaceae,Betula,,,8,Grote,Acrolophidae,Acrolophus,morus,,,Nearctic
36,,Cornaceae,Cornus,,,36,Kearfott,Adelidae,Chalceopla,dietziella,,,Nearctic
22,on leaves/seeds,Elaeagnaceae,Hippophae,,,22,Scopoli,Adelidae,Adela,croesella,,,British Isles
42,on leaves/seeds,Dipsacaceae,Scabiosa,,,42,Hübner,Adelidae,Nemophora,cupriacella,,,British Isles
31,on leaves/seeds,Cruciferae,Cardamine,pratensis,,31,Scopoli,Adelidae,Adela,rufimitrella,,,British Isles
34,on leaves/seeds,Guttiferae,Hypericum,perforatum,,34,Denis & Schiff.,Adelidae,Adela,violella,,,British Isles
13,,Gramineae,Zea,mays,,13,Clemens,Acrolophidae,Acrolophus,popeanella,,,Nearctic
41,on leaves/seeds,Dipsacaceae,Knautia,,,41,Hübner,Adelidae,Nemophora,cupriacella,,,British Isles
51,on leaves/seeds,Dipsacaceae,Succisa,,,51,Denis & Schiff.,Adelidae,Nemophora,minimella,,,British Isles
37,,Crassulaceae,Sedum,,,37,Busck,Adelidae,Chalceopla,sedella,,,Nearctic
49,on leaves/seeds,Dipsacaceae,Scabiosa,,,49,Poda,Adelidae,Nemophora,metallica,,,British Isles
50,on leaves/seeds,Dipsacaceae,Scabiosa,,,50,Denis & Schiff.,Adelidae,Nemophora,minimella,,,British Isles
21,on leaves/seeds,Oleaceae,Fraxinus,,,21,Scopoli,Adelidae,Adela,croesella,,,British Isles
43,on leaves/seeds,Dipsacaceae,Succisa,,,43,Hübner,Adelidae,Nemophora,cupriacella,,,British Isles
47,on leaves/seeds,Labiatae,Ballota,nigra,,47,Fabricius,Adelidae,Nemophora,fasciella,,,British Isles
86,,Rosaceae,Crataegus,,,86,Chambers,Agonoxenidae,Blastodacna,curvilineella,,,Nearctic
65,in leaf-galls/seeds,Euphorbiaceae,Croton,capitatus,lindheimeri,65,Chambers,Agonoxenidae,Aetia,bipunctella,,,Nearctic
48,on leaves/seeds,Dipsacaceae,Knautia,,,48,Poda,Adelidae,Nemophora,metallica,,,British Isles
85,in shoots,Rosaceae,Malus,,,85,Haworth,Agonoxenidae,Blastodacna,atra,,,British Isles
87,in fruits,Rosaceae,Crataegus,,,87,Chambers,Agonoxenidae,Blastodacna,curvilineella,,,Nearctic
98,in bark,Salicaceae,Salix,,,98,Busck,Agonoxenidae,Chrysoclista,cambiella,,,Nearctic
101,in bark,Salicaceae,Salix,alba,,101,Fletcher,Agonoxenidae,Chrysoclista,lathamella,,,British Isles
91,in fruits,Rosaceae,Crataegus,,,91,Duponchel,Agonoxenidae,Blastodacna,hellerella,,,British Isles
105,in bark,Tiliaceae,Tilia,,,105,Clerck,Agonoxenidae,Chrysoclista,linneella,,,British Isles
107,in bark,Tiliaceae,Tilia,x vulgaris,,107,Clerck,Agonoxenidae,Chrysoclista,linneella,,,Nearctic
108,,Ericaceae,Lyonia,,,108,Busck,Agonoxenidae,Chrysoclista,villella,,,Nearctic
109,,Ericaceae,Lyonia,ligustrina,,109,Busck,Agonoxenidae,Chrysoclista,villella,,,Nearctic
99,in cambium,Salicaceae,Salix,,,99,Busck,Agonoxenidae,Chrysoclista,cambiella,,,Nearctic
115,in bark,Fagaceae,Quercus,,,115,Stainton,Agonoxenidae,Dystebenna,stephensi,,,British Isles
137,,Labiatae,Stachys,recta,,137,,Alucitidae,Alucita,,,,Europe
136,,Labiatae,Stachys,alpina,,136,,Alucitidae,Alucita,,,,Europe
135,,Compositae,Centaurea,jacea,,135,,Alucitidae,Alucita,,,,Europe
138,,Labiatae,Stachys,sylvatica,,138,,Alucitidae,Alucita,,,,Europe
146,,Caprifoliaceae,Lonicera,,,146,Linnaeus,Alucitidae,Alucita,hexadactyla,,,Netherlands
141,in stems,Labiatae,Stachys,,,141,,Alucitidae,Alucita,,,,Europe
133,in twigs,Rosaceae,Crataegus,,,133,Haworth,Agonoxenidae,Spuleria,flavicaput,,,British Isles
150,in flowers/seeds,Dipsacaceae,Knautia,arvensis,,150,Wallengren,Alucitidae,Alucita,huebneri,,,Europe
149,in flowers/seeds,Compositae,Centaurea,jacea,,149,Wallengren,Alucitidae,Alucita,huebneri,,,Europe
151,in galls,Dipsacaceae,Scabiosa,columbaria,,151,Wallengren,Alucitidae,Alucita,huebneri,,,Europe
140,in stems,Caprifoliaceae,Lonicera,,,140,,Alucitidae,Alucita,,,,Europe
229,,Corylaceae,Carpinus,caroliniana,,229,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
231,,Corylaceae,Corylus,,,231,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
147,in buds/leaves,Caprifoliaceae,Lonicera,periclymenum,,147,Linnaeus,Alucitidae,Alucita,hexadactyla,,,British Isles
233,,Oleaceae,Fraxinus,,,233,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
235,,Aquifoliaceae,Ilex,glabra,,235,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
245,,Rosaceae,Prunus,domestica,,245,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
247,,Rosaceae,Prunus,maritima,,247,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
252,,Fagaceae,Quercus,,,252,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
222,,Betulaceae,Alnus,,,222,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
253,,Fagaceae,Quercus,,,253,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
228,,Caricaceae,Carica,papaya,,228,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
257,,Rosaceae,Rubus,allegheniensis,,257,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
220,,Aceraceae,Acer,,,220,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
264,,Lauraceae,Sassafras,albidum,,264,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
238,,Myricaceae,Myrica,cerifera,,238,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
267,,Leguminosae (P),Strophostyles,helvula,,267,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
243,,Rosaceae,Prunus,,,243,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
224,,Betulaceae,Alnus,incana,rugosa,224,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
246,,Rosaceae,Prunus,maritima,,246,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
268,,Caprifoliaceae,Viburnum,,,268,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
279,,Bignoniaceae,Catalpa,speciosa,,279,Dyar,Apatelodidae,Olceclostera,seraphica,,Y,Nearctic
236,,Lauraceae,Lindera,benzoin,,236,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
225,,Betulaceae,Alnus,serrulata,,225,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
273,,Oleaceae,Fraxinus,,,273,Grote,Apatelodidae,Olceclostera,angelica,,,Nearctic
226,,Compositae,Arctium,lappa,,226,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
259,,Rosaceae,Rubus,idaeus,,259,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
242,,Rosaceae,Prunus,,,242,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
260,,Rosaceae,Rubus,idaeus,strigosus,260,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
248,,Rosaceae,Prunus,pensylvanica,,248,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
240,,Corylaceae,Ostrya,virginiana,,240,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
261,,Salicaceae,Salix,,,261,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
249,,Rosaceae,Prunus,serotina,,249,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
262,,Salicaceae,Salix,,,262,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
254,,Ericaceae,Rhododendron,,,254,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
271,on trees/shrubs,Polyphagous,,,,271,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
265,,Lauraceae,Sassafras,albidum,,265,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
272,,Oleaceae,,,,272,Grote,Apatelodidae,Olceclostera,angelica,,,Nearctic
283,,Oleaceae,Syringa,vulgaris,,283,Dyar,Apatelodidae,Olceclostera,seraphica,,Y,Nearctic
270,on shrubs/trees,Polyphagous,,,,270,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
274,,Oleaceae,Fraxinus,,,274,Grote,Apatelodidae,Olceclostera,angelica,,Y,Nearctic
276,,Oleaceae,Syringa,,,276,Grote,Apatelodidae,Olceclostera,angelica,,,Nearctic
282,,Oleaceae,Fraxinus,pennsylvanica,,282,Dyar,Apatelodidae,Olceclostera,seraphica,,Y,Nearctic
437,,Gramineae,,,,437,Linnaeus,Arctiidae,Amata,phegea,,,Europe
699,,Gramineae,,,,699,Drury,Arctiidae,Apantesis,nais,,,Nearctic
704,,Plantaginaceae,Plantago,,,704,Drury,Arctiidae,Apantesis,nais,,,Nearctic
697,on leaves,Musaceae,Musa,,,697,Druce,Arctiidae,Antichloris,viridis,,,British Isles
711,,Compositae,Taraxacum,officinale,,711,Drury,Arctiidae,Apantesis,nais,,,Nearctic
717,,Plantaginaceae,Plantago,,,717,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
714,,Violaceae,Viola,,,714,Drury,Arctiidae,Apantesis,nais,,,Nearctic
720,,Compositae,Taraxacum,officinale,,720,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
716,on low plants,Polyphagous,,,,716,Drury,Arctiidae,Apantesis,nais,,,Nearctic
723,on low plants,Polyphagous,,,,723,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
721,,Leguminosae (P),Trifolium,,,721,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
731,,Compositae,Artemisia,,,731,Packard,Arctiidae,Arachnis,picta,,,Nearctic
725,,Compositae,Taraxacum,,,725,Fabricius,Arctiidae,Apantesis,vittata,,,Nearctic
733,,Myrtaceae,Eucalyptus,,,733,Packard,Arctiidae,Arachnis,picta,,,Nearctic
702,,Chenopodiaceae,Chenopodium,,,702,Drury,Arctiidae,Apantesis,nais,,,Nearctic
737,,Leguminosae (P),Lupinus,chamissonis,,737,Packard,Arctiidae,Arachnis,picta,,,Nearctic
707,,Polygonaceae,Polygonum,erectum,,707,Drury,Arctiidae,Apantesis,nais,,,Nearctic
738,,Malvaceae,Malva,,,738,Packard,Arctiidae,Arachnis,picta,,,Nearctic
710,,Compositae,Taraxacum,,,710,Drury,Arctiidae,Apantesis,nais,,,Nearctic
742,,Plantaginaceae,Plantago,,,742,Packard,Arctiidae,Arachnis,picta,,,Nearctic
743,,Rosaceae,Rosa,,,743,Packard,Arctiidae,Arachnis,picta,,,Nearctic
